<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
1;g1;12.94625556;23.5017871;118.5189159;16.45;16.45;1;1;1279;0;120.3925;0;None;
2;g2;12.87754061;24.8573399;119.3541909;17.4;17.4;1;1;1210;0;102.64;0;None;
3;g3;9.2;44.68571429;31.3547987;31.28;31.28;1;1;751;0;4.256;0;None;
4;g4;0.016195685;3.989403867;0.0;2.79;2.79;4;4;978;0;0.0;0;None;
5;g5;1.645670414;6.464373782;0.0;4.53;4.53;1;1;978;0;2.336;0;None;
6;g6;0.0;2.620738557;0.0;1.83;1.83;2;2;158;0;0.0;0;None;
7;g7;4.170264871;12.79317816;85.0970059;8.96;8.96;4;4;1217;0;98.4375;0;None;
8;g8;10.0;48.57142857;32.29013978;34.0;34.0;1;1;367;0;4.626;0;None;
9;g9;5.035330904;15.89232628;81.53273505;11.12;11.12;2;2;1127;0;77.1095;0;None;
10;g10;12.4;59.98699684;154.4603951;41.99;41.99;2;2;460;0;81.866;0;None;
11;g11;5.403636622;17.80181628;91.0160128;12.46;12.46;2;2;968;0;112.5235;0;None;
12;g12;6.328709206;21.356451;69.2451299;14.95;14.95;4;4;1827;0;221.2805;0;None;
13;g13;1.0;35.82914226;0.0;25.08;25.08;4;4;1466;0;190.514;0;None;
14;g14;1.0;31.72268384;0.0;22.21;22.21;2;2;2863;0;135.102;0;None;
15;g15;1.0;31.06263168;0.0;21.74;21.74;2;2;1466;0;103.6405;0;None;
16;g16;1.0;35.4966782;0.0;24.85;24.85;1;1;2863;0;240.549;0;None;
17;g17;3.457910259;11.89438011;26.9127009;8.33;8.33;1;1;1072;0;59.379;0;None;
18;g18;3.037111721;13.82991602;65.10488025;9.68;9.68;2;2;1072;0;107.9725;0;None;
19;g19;5.737524896;11.95006183;83.9004792;8.37;8.37;1;1;1072;0;55.048;0;None;
20;g20;2.670472866;10.33;6.783263279999999;7.23;7.23;4;4;642;0;7.0645;0;None;
21;g21;2.466121252;10.06509114;5.564358065;7.05;7.05;1;1;642;0;10.7765;0;None;
22;g22;5.0;48.08329025;6.367111590000001;33.66;33.66;1;1;542;0;16.875;0;None;
23;g23;4.912968111;11.95237109;63.36666925000001;8.37;8.37;4;4;773;0;56.2535;0;None;
24;g24;3.331277421;13.63997193;91.98512495;9.55;9.55;2;2;399;0;81.1295;0;None;
25;g25;0.0;0.252975272;3.796377103;0.18;0.18;4;4;399;0;0.0;0;None;
26;g26;5.425609723;23.45944749;102.36483199999999;16.42;16.42;1;1;21;0;258.2085;0;None;
27;g27;9.878150282;20.64396072;43.76125379;14.45;14.45;2;2;21;0;154.619;0;None;
28;g28;6.013576388;17.74298087;108.6555074;12.42;12.42;4;4;899;0;82.9005;0;None;
29;g29;8.777092499;20.01272371;94.3445527;14.01;14.01;2;2;899;0;220.8;0;None;
30;g30;1.219946645;5.735722588;1.349291561;4.02;4.02;4;4;2618;0;0.2455;0;None;
31;g31;13.88075701;25.1566386;179.9739955;17.61;17.61;2;2;2618;0;157.0455;0;None;
32;g32;1.590245648;5.645231229;0.0;3.95;3.95;1;1;285;0;4.6365;0;None;
33;g33;12.72999369;32.9087553;180.3804742;23.04;23.04;4;4;285;0;205.0415;0;None;
34;g34;2.702158324;12.86370299;50.4689964;9.0;9.0;2;2;135;0;107.3745;0;None;
35;g35;3.961979464;17.62321136;65.23475085;12.34;12.34;1;1;53;0;126.255;0;None;
36;g36;6.029711641;17.8756321;85.608848;12.51;12.51;2;2;53;0;117.3585;0;None;
37;g37;0.0;3.598074164;0.0;2.52;2.52;2;2;596;0;0.0;0;None;
38;g38;0.277699168;4.308027573;0.0;3.02;3.02;1;1;958;0;3.0315;0;None;
